doc_id,dominant_topic,confidence
193,7,0.57377756
194,5,0.9581787
195,6,0.9616904
196,6,0.9616869
197,6,0.48726854
198,0,0.5656991
199,3,0.5504903
200,4,0.96130663
201,1,0.86193484
202,3,0.8209288
203,1,0.95724475
204,6,0.85298735
205,4,0.4993499
206,0,0.9620125
207,5,0.96435404
208,3,0.520786
209,5,0.9615132
210,3,0.6337982
211,7,0.9575022
212,1,0.9660668
213,6,0.6987271
214,2,0.96497697
215,3,0.68925893
216,3,0.98412114
217,5,0.7981884
218,6,0.9583699
219,3,0.58206636
220,5,0.9615135
221,0,0.49805465
222,1,0.3992986
223,3,0.5970045
224,0,0.5649986
225,1,0.5573342
226,5,0.9615141
227,3,0.6465427
228,3,0.5472853
229,3,0.7112534
230,3,0.58017015
231,5,0.82416534
232,0,0.9648171
233,3,0.62774104
234,7,0.83877224
235,3,0.98349965
236,1,0.9572451
237,3,0.68404883
238,6,0.8547266
239,0,0.5030837
240,4,0.96130615
241,7,0.64510775
242,2,0.97984415
243,4,0.5504181
244,0,0.8807336
245,3,0.5964604
246,4,0.7385001
247,3,0.61410815
248,4,0.9579554
249,5,0.9643539
250,3,0.66823685
251,5,0.9615132
252,0,0.54595673
253,3,0.57949
254,3,0.52933556
255,2,0.80459964
256,6,0.964519
257,3,0.4995177
258,6,0.9583716
259,4,0.9579548
260,3,0.5842518
261,3,0.6919058
262,3,0.75767654
263,3,0.5795411
264,3,0.5074669
265,2,0.9115803
266,5,0.71609676
267,2,0.9589079
268,2,0.9827734
269,2,0.9833772
270,5,0.53455156
271,3,0.59779483
272,2,0.9673831
273,5,0.8607708
274,6,0.7738801
275,0,0.49796653
276,3,0.6293893
277,5,0.8598585
278,0,0.71904176
279,5,0.9581793
280,5,0.9581797
281,6,0.7469162
282,0,0.4952671
283,4,0.9579586
284,4,0.60620135
285,0,0.9587184
286,7,0.6838339
287,3,0.6159132
288,4,0.6079509
289,3,0.98282725
290,1,0.7430497
291,3,0.56553495
292,2,0.50583375
293,3,0.69727474
294,4,0.62864363
295,3,0.510579
296,0,0.3815312
297,3,0.51643777
298,6,0.95837057
299,3,0.7244555
300,3,0.92944586
301,6,0.83154696
302,7,0.52401066
303,3,0.68966377
304,3,0.64169276
305,3,0.7192081
306,2,0.9839393
307,0,0.96200943
308,6,0.96695757
309,1,0.51458806
310,5,0.8287351
311,2,0.98277265
312,3,0.71121174
313,6,0.63976824
314,5,0.83855885
315,0,0.5783251
316,2,0.7222168
317,2,0.9821209
318,2,0.96738327
319,3,0.8507296
320,5,0.96151334
321,3,0.56861633
322,4,0.9641655
323,3,0.7943801
324,3,0.525316
325,0,0.7959461
326,6,0.96169037
327,0,0.96201015
328,5,0.96435565
329,0,0.9672357
330,3,0.6079122
331,6,0.81218094
332,4,0.9539714
333,6,0.6206428
334,4,0.64172244
335,3,0.5246942
336,3,0.98282707
337,6,0.53757286
338,4,0.96130663
339,6,0.9616908
340,3,0.6962048
341,4,0.5518209
342,5,0.7502656
343,0,0.5101036
344,3,0.5660931
345,2,0.96497744
346,3,0.9087378
